bins	start time(ps)	counts
0	0	20
1	6960871	16
2	13920909	16
3	20880924	17
4	27841465	14
5	34801975	20
6	41762524	17
7	48722493	16
8	55682993	17
9	62643611	22
10	69603946	16
11	76564123	19
12	83524706	21
13	90485229	10
14	97445093	12
15	104405454	23
16	111366329	11
17	118326410	23
18	125286509	12
19	132247260	11
20	139207646	12
21	146167791	15
22	153128303	17
23	160088861	14
24	167049103	14
25	174009184	18
26	180969965	16
27	187930356	10
28	194890886	10
29	201850845	21
30	208811294	19
31	215771878	18
32	222732144	14
33	229692433	17
34	236652887	7
35	243613072	13
36	250573677	15
37	257534286	18
38	264494200	19
39	271454471	14
40	278415167	17
41	285375467	15
42	292335695	16
43	299296213	20
44	306256689	16
45	313216907	18
46	320177389	18
47	327137880	22
48	334098038	11
49	341058503	13
50	348019018	14
51	354979677	18
52	361939747	18
53	368900272	12
54	375860722	18
55	382820757	16
56	389780957	10
57	396741527	15
58	403701778	17
59	410662055	14
60	417622490	8
61	424582761	20
62	431543251	15
63	438503476	22
64	445464387	17
65	452424608	19
66	459384833	18
67	466344969	18
68	473305757	17
69	480266143	15
70	487226261	17
71	494186789	19
72	501147320	13
73	508107297	14
74	515067648	10
75	522028247	13
76	528988716	12
77	535948980	18
78	542909029	17
79	549869988	19
80	556830363	10
81	563790471	17
82	570750852	14
83	577711124	11
84	584671555	12
85	591632088	14
86	598592501	9
87	605552586	17
88	612513136	13
89	619473735	23
90	626433996	14
91	633394051	10
92	640354707	22
93	647314669	24
94	654275144	18
95	661235595	19
96	668196227	14
97	675156766	23
98	682116542	21
99	689077273	11
100	696037863	23
101	702997999	16
102	709958317	16
103	716918769	12
104	723879360	11
105	730839556	22
106	737799647	16
107	744760591	19
108	751720714	11
109	758680586	15
110	765641303	18
111	772601792	15
112	779562147	12
113	786522275	21
114	793482916	12
115	800443589	14
116	807403631	19
117	814364013	25
118	821324572	16
119	828284778	13
120	835245344	13
121	842205546	13
122	849166043	18
123	856126378	16
124	863086466	17
125	870047212	13
126	877007477	10
127	883967311	18
128	890927906	17
129	897888538	22
130	904849013	16
131	911809110	15
132	918769373	15
133	925730127	20
134	932690368	24
135	939650755	19
136	946611519	18
137	953571731	16
138	960531969	16
139	967492339	11
140	974452691	23
141	981413242	12
142	988373236	12
143	995333695	17
144	1002294198	19
145	1009254430	17
146	1016214942	15
147	1023175420	16
148	1030135756	6
149	1037095619	20
150	1044056379	15
151	1051016838	26
152	1057977325	12
153	1064937253	25
154	1071898156	13
155	1078858435	15
156	1085818465	15
157	1092779080	15
158	1099739238	18
159	1106699594	12
160	1113660185	19
161	1120620741	13
162	1127580837	18
163	1134541151	13
164	1141501828	16
165	1148462141	13
166	1155422108	24
167	1162382622	11
168	1169343275	25
169	1176303640	21
170	1183263798	15
171	1190224567	17
172	1197184981	9
173	1204145101	16
174	1211105424	18
175	1218065940	18
176	1225026314	15
177	1231986541	12
178	1238946953	15
179	1245907246	17
180	1252867506	8
181	1259828474	11
182	1266788600	17
183	1273748481	20
184	1280709213	14
185	1287669374	12
186	1294629876	15
187	1301590169	19
188	1308550679	17
189	1315511271	16
190	1322471242	15
191	1329431519	10
192	1336392388	18
193	1343352864	20
194	1350312873	15
195	1357273533	13
