bins	start time(ps)	counts
0	0	19
1	7060586	19
2	14121307	12
3	21181126	19
4	28241585	14
5	35302235	18
6	42362580	20
7	49422654	14
8	56482916	13
9	63543367	12
10	70603722	15
11	77664245	16
12	84724908	19
13	91784897	21
14	98845433	20
15	105905992	18
16	112966047	20
17	120026535	19
18	127087098	19
19	134147650	23
20	141207907	17
21	148268271	13
22	155328576	19
23	162388724	21
24	169449167	24
25	176509539	17
26	183569670	15
27	190630163	19
28	197690719	13
29	204751095	17
30	211811375	23
31	218872098	13
32	225932365	13
33	232992474	17
34	240053070	16
35	247113607	20
36	254174016	15
37	261234050	19
38	268294584	14
39	275355049	13
40	282415249	15
41	289475536	22
42	296536232	21
43	303596669	17
44	310656802	10
45	317717046	17
46	324777783	18
47	331838057	22
48	338898426	16
49	345958924	13
50	353019434	18
51	360079422	12
52	367139674	21
53	374200297	16
54	381260636	19
55	388320675	22
56	395381394	16
57	402442001	22
58	409502637	16
59	416562551	17
60	423622769	16
61	430683427	14
62	437743880	15
63	444804175	20
64	451864749	18
65	458924873	13
66	465985276	16
67	473045863	16
68	480105799	19
69	487166432	25
70	494226416	21
71	501286793	19
72	508347513	18
73	515408157	12
74	522468535	15
75	529528659	19
76	536588961	14
77	543649647	17
78	550709891	18
79	557770320	13
80	564830474	17
81	571890642	18
82	578951267	13
83	586011916	11
84	593072054	14
85	600132130	19
86	607192671	14
87	614253500	19
88	621313611	16
89	628373720	14
90	635434652	24
91	642495037	12
92	649554850	24
93	656615475	20
94	663676261	18
95	670736380	17
96	677796387	16
97	684857147	18
98	691917450	12
99	698977613	15
100	706038147	14
101	713098683	19
102	720158891	23
103	727218966	24
104	734279894	15
105	741340474	12
106	748400323	17
107	755460884	13
108	762521551	14
109	769581728	14
110	776641874	15
111	783702471	20
112	790762463	12
113	797822841	16
114	804883789	16
115	811944031	15
116	819004236	19
117	826064873	14
118	833125168	21
119	840185383	15
120	847245777	21
121	854306552	19
122	861366942	21
123	868426654	15
124	875487272	19
125	882547990	23
126	889608063	17
127	896668168	21
128	903729022	14
129	910789417	19
130	917849402	17
131	924909906	16
132	931970504	15
133	939030840	22
134	946090951	15
135	953151650	16
136	960212054	17
137	967272456	21
138	974332401	22
139	981393332	17
140	988453576	13
141	995513540	16
142	1002574116	15
143	1009635046	21
144	1016695150	16
145	1023754986	14
146	1030815994	17
147	1037876322	16
148	1044936606	17
149	1051996970	19
150	1059057640	17
151	1066117616	13
152	1073177714	15
153	1080238395	18
154	1087298825	12
155	1094359133	17
156	1101419019	26
157	1108480048	12
158	1115540650	15
159	1122600778	19
160	1129661131	18
161	1136721111	18
162	1143781783	15
163	1150842445	20
164	1157902814	18
165	1164962933	15
166	1172023104	23
167	1179083717	19
168	1186144228	15
169	1193204594	13
170	1200264999	22
171	1207324918	19
172	1214385776	16
173	1221446337	15
174	1228506422	17
175	1235566560	10
176	1242627244	22
177	1249687686	13
178	1256747940	12
179	1263808441	17
180	1270868738	20
181	1277929090	23
182	1284989839	17
183	1292049964	16
184	1299109976	13
185	1306170336	20
186	1313231218	18
187	1320291364	19
188	1327351484	8
189	1334412304	17
190	1341472729	17
191	1348532684	17
192	1355593443	21
193	1362653885	16
194	1369714078	12
195	1376774105	16
196	1383834604	20
197	1390895385	17
198	1397955465	15
199	1405015475	18
200	1412076767	15
201	1419136975	15
202	1426196942	16
203	1433257136	23
204	1440317899	17
205	1447377982	11
206	1454438770	22
207	1461499077	22
208	1468559200	13
209	1475619726	21
210	1482680193	14
211	1489740381	12
212	1496800532	15
213	1503861440	22
214	1510922067	16
215	1517982223	18
216	1525042455	13
217	1532103001	16
218	1539163525	15
219	1546223071	15
220	1553284052	16
221	1560344344	13
222	1567404592	21
223	1574464728	11
224	1581525442	14
225	1588586045	20
226	1595646024	16
227	1602706681	12
228	1609767153	12
229	1616827354	17
230	1623887909	23
231	1630948507	18
232	1638008600	14
233	1645068905	16
234	1652129345	9
235	1659189672	16
236	1666250162	11
237	1673310361	17
238	1680370722	17
239	1687431529	17
240	1694491726	15
241	1701552054	15
242	1708612115	15
243	1715672672	13
244	1722733319	22
245	1729793557	16
246	1736854216	19
247	1743914576	23
248	1750974817	14
249	1758034975	19
250	1765095381	16
251	1772155759	24
252	1779216153	22
253	1786276511	11
254	1793336950	22
255	1800397363	18
256	1807457789	21
257	1814518140	10
258	1821578449	20
259	1828638876	19
260	1835699334	12
261	1842759598	13
262	1849820240	13
263	1856880430	22
264	1863940656	15
265	1871001153	21
266	1878061540	14
267	1885121967	14
268	1892182473	18
269	1899242577	17
270	1906303224	24
271	1913363590	14
272	1920423885	14
273	1927484490	27
274	1934544620	18
275	1941605094	20
276	1948665471	20
277	1955725905	19
278	1962786286	16
279	1969846768	18
280	1976906864	19
281	1983967302	14
282	1991027660	11
283	1998088173	14
284	2005148480	14
285	2012208797	12
286	2019269194	16
287	2026329511	17
288	2033390102	21
289	2040450490	10
290	2047510820	15
291	2054571392	19
292	2061631519	20
293	2068691737	11
294	2075752274	17
295	2082812443	13
296	2089872893	13
297	2096932970	20
298	2103993692	22
299	2111054160	14
300	2118114728	19
301	2125174901	17
302	2132235547	22
303	2139295769	19
304	2146355872	26
305	2153416440	12
306	2160476780	23
307	2167537341	20
308	2174597756	13
309	2181657683	14
310	2188718317	15
311	2195778719	16
312	2202839025	19
313	2209899433	11
314	2216959794	11
315	2224020204	19
316	2231080577	15
317	2238141144	18
318	2245201300	13
319	2252261922	15
320	2259322127	18
321	2266382481	15
322	2273442911	14
323	2280503344	16
324	2287563648	17
325	2294624306	19
326	2301685003	14
327	2308745114	10
328	2315805225	6
329	2322865771	25
330	2329926034	15
331	2336986357	17
332	2344046991	14
333	2351107331	12
334	2358167449	19
335	2365227669	26
336	2372287937	17
337	2379348595	15
338	2386409024	21
339	2393469264	21
340	2400529816	15
341	2407590207	16
342	2414650637	14
343	2421711038	23
344	2428771141	15
345	2435831817	18
346	2442891903	11
347	2449952518	15
348	2457012992	12
349	2464073357	19
350	2471133762	13
351	2478193883	8
352	2485254504	21
353	2492314383	17
354	2499374898	16
355	2506435551	18
356	2513495852	13
357	2520556375	15
358	2527616734	19
359	2534677002	13
360	2541737385	15
361	2548798109	15
362	2555858556	14
363	2562918590	17
364	2569978791	11
365	2577039137	17
366	2584099686	18
367	2591160133	14
368	2598220332	20
369	2605281070	20
370	2612341428	18
371	2619401826	11
372	2626462139	15
373	2633522326	20
374	2640582845	13
375	2647643382	22
376	2654703579	13
377	2661763881	15
378	2668824237	14
379	2675884385	12
380	2682944798	9
381	2690005452	22
382	2697065881	17
383	2704125865	17
384	2711186479	17
385	2718247002	15
386	2725307385	18
387	2732367595	12
388	2739427905	19
389	2746488575	14
390	2753548941	20
391	2760609614	12
392	2767669497	12
393	2774729996	22
394	2781790077	10
395	2788850989	12
396	2795911083	23
397	2802971092	15
398	2810031584	10
399	2817092264	16
400	2824152703	12
401	2831212858	16
402	2838273530	18
403	2845334020	16
404	2852394062	15
405	2859454393	13
406	2866514580	16
407	2873575325	22
408	2880635603	16
409	2887696189	17
410	2894756264	17
411	2901816473	14
412	2908877395	25
413	2915937749	20
414	2922997804	10
415	2930058349	17
416	2937118797	13
417	2944178918	22
418	2951239350	22
419	2958300065	20
420	2965360265	19
421	2972420445	17
422	2979480944	18
423	2986541466	16
424	2993601766	15
425	3000661977	18
426	3007722514	22
427	3014783107	15
428	3021843053	14
429	3028903448	14
430	3035963946	13
431	3043024557	18
432	3050084918	17
433	3057145143	16
434	3064205353	9
435	3071265847	17
436	3078326023	13
437	3085387022	23
438	3092447176	21
439	3099507512	14
440	3106567969	11
441	3113628086	23
442	3120688142	14
443	3127749135	18
444	3134809612	18
445	3141869764	21
446	3148930226	12
447	3155990982	16
448	3163050923	16
449	3170110756	16
450	3177171240	17
451	3184232193	12
452	3191292349	16
453	3198352626	23
454	3205412857	11
455	3212473385	10
456	3219534052	17
457	3226594705	14
458	3233654443	17
459	3240714999	15
460	3247775713	20
461	3254835949	17
462	3261896005	15
463	3268956645	11
464	3276017205	17
465	3283077235	20
466	3290137477	16
467	3297198041	18
