bins	start time(ps)	counts
0	0	14
1	6860433	12
2	13721170	14
3	20581398	16
4	27441389	10
5	34301564	23
6	41162341	15
7	48022613	17
8	54882813	11
9	61743108	12
10	68603945	20
11	75464170	17
12	82324203	9
13	89184628	12
14	96045112	16
15	102905599	18
16	109765814	11
17	116626238	17
18	123486976	19
19	130347145	14
20	137207276	12
21	144068068	17
22	150928270	15
23	157788653	21
24	164649021	17
25	171509331	15
26	178369450	13
27	185229996	18
28	192090597	17
29	198950751	17
30	205810833	13
31	212671460	19
32	219531858	11
33	226392214	6
34	233252431	16
35	240112946	15
36	246973556	17
37	253833664	15
38	260694226	16
39	267554559	12
40	274414759	18
41	281275084	14
42	288135751	12
43	294996266	13
44	301855959	13
45	308716423	17
46	315577318	17
47	322437545	14
48	329297571	13
49	336158164	18
50	343018902	14
51	349879086	9
52	356739311	21
53	363599615	16
54	370460145	12
55	377320470	15
56	384180659	10
57	391041310	14
58	397901111	21
59	404761858	19
60	411622171	16
61	418482632	12
62	425342653	10
63	432203410	13
64	439063968	17
65	445924161	18
66	452784499	13
67	459644731	19
68	466505558	20
69	473365267	8
70	480226187	20
71	487086494	12
72	493946780	18
73	500806929	17
74	507667651	20
75	514527967	22
76	521388099	14
77	528248375	14
78	535109043	19
79	541969463	16
80	548829421	22
81	555690026	16
82	562550320	19
83	569410624	14
84	576270991	20
85	583131510	13
86	589992069	21
87	596852159	16
88	603712433	17
89	610573155	12
90	617433693	5
91	624293461	14
92	631153927	13
93	638014542	17
94	644874720	8
95	651735247	16
96	658595517	17
97	665456135	8
98	672316433	11
99	679176803	25
100	686037256	17
101	692897465	18
102	699757691	18
103	706617805	14
104	713478530	18
105	720339211	21
106	727199291	16
107	734059561	12
108	740919927	16
109	747780482	17
110	754640838	15
111	761501070	20
112	768361127	15
113	775222002	9
114	782082606	8
115	788942650	8
116	795802966	13
117	802663182	20
118	809523702	14
119	816383958	9
120	823244783	20
121	830105138	17
122	836965018	12
123	843825380	20
124	850686244	17
125	857546362	15
126	864406647	11
127	871267037	15
128	878127745	14
129	884987682	12
130	891848115	19
131	898708614	18
132	905568988	20
133	912428964	12
134	919289643	16
135	926150002	10
136	933010276	20
137	939870325	13
138	946731149	13
139	953591421	15
140	960451841	18
141	967311997	20
142	974172841	14
143	981033154	18
144	987893098	8
145	994753861	11
146	1001614457	10
147	1008474701	14
148	1015335020	12
149	1022195114	12
150	1029055363	14
151	1035915625	13
152	1042776450	17
153	1049636850	16
154	1056496941	15
155	1063357237	12
156	1070217574	12
157	1077078040	16
158	1083938476	13
159	1090799084	19
160	1097659427	15
161	1104519349	17
162	1111379905	13
163	1118240433	15
164	1125100629	15
165	1131961079	22
166	1138821795	18
167	1145682179	11
168	1152542455	14
169	1159402645	19
170	1166263012	11
171	1173123319	15
172	1179983849	12
173	1186844320	13
174	1193704701	19
175	1200564471	9
176	1207425155	10
177	1214285664	16
178	1221145728	16
179	1228006126	9
180	1234866715	23
181	1241727228	15
182	1248587276	20
183	1255447621	13
184	1262308208	21
185	1269168619	19
186	1276028888	17
187	1282888933	11
188	1289749638	16
189	1296610152	18
190	1303470284	20
191	1310330647	20
192	1317191401	12
193	1324051564	21
194	1330911846	15
195	1337772523	17
196	1344632725	15
197	1351493233	15
198	1358353393	22
199	1365213923	21
200	1372074211	7
201	1378934248	17
202	1385794930	16
203	1392655221	18
204	1399515492	11
205	1406375690	20
206	1413236052	15
207	1420096511	19
208	1426957081	28
209	1433817577	18
210	1440677721	15
211	1447537812	22
212	1454398597	16
213	1461259235	26
214	1468119196	15
215	1474979405	14
216	1481840276	17
217	1488700487	13
218	1495560606	16
219	1502421181	10
220	1509281829	14
221	1516142298	13
222	1523001887	13
223	1529862272	13
224	1536723058	17
225	1543583396	10
226	1550443763	13
227	1557304121	23
228	1564164277	13
229	1571024520	16
230	1577885196	13
231	1584745501	10
232	1591605673	11
233	1598466445	18
234	1605327105	12
235	1612186980	16
236	1619047023	16
237	1625907682	16
238	1632768233	15
239	1639628471	14
240	1646488886	14
241	1653349246	14
242	1660209707	25
243	1667069833	16
244	1673930423	14
245	1680790802	14
246	1687650992	15
247	1694511296	18
248	1701371838	9
249	1708232498	16
250	1715092486	10
251	1721953103	16
252	1728813216	18
253	1735673682	19
254	1742533550	26
255	1749394243	13
256	1756254997	14
257	1763115177	23
258	1769975219	17
259	1776836048	9
260	1783696571	12
261	1790556598	11
262	1797417210	16
263	1804277408	23
264	1811137771	9
265	1817998246	20
266	1824858735	17
267	1831718744	12
268	1838579262	24
269	1845439852	17
270	1852300041	17
271	1859160144	16
272	1866020817	9
273	1872881209	13
274	1879741456	16
275	1886601769	21
276	1893462324	17
277	1900322545	20
278	1907182822	20
279	1914043215	14
280	1920903675	19
281	1927763959	15
282	1934624334	9
283	1941485051	14
284	1948345079	15
285	1955205514	15
286	1962066092	16
287	1968926564	15
288	1975786273	18
289	1982647022	16
290	1989507260	11
291	1996368016	15
292	2003228073	20
