bins	start time(ps)	counts
0	0	14
1	6910378	16
2	13820548	17
3	20731160	18
4	27641786	13
5	34551909	11
6	41461805	23
7	48372330	13
8	55282878	15
9	62193420	16
10	69103605	12
11	76014227	16
12	82924704	5
13	89834357	21
14	96744926	20
15	103655510	16
16	110566050	10
17	117476253	11
18	124386541	18
19	131297159	16
20	138207528	21
21	145117847	16
22	152028253	16
23	158938497	18
24	165848918	13
25	172759607	18
26	179669554	22
27	186579824	9
28	193490219	9
29	200400890	16
30	207310841	13
31	214221263	14
32	221131770	14
33	228042296	11
34	234952427	16
35	241862863	19
36	248773486	19
37	255683816	16
38	262594148	15
39	269504392	10
40	276414782	20
41	283325029	18
42	290236064	11
43	297146404	23
44	304056271	15
45	310966783	13
46	317877485	15
47	324787561	14
48	331697561	12
49	338608255	22
50	345518924	22
51	352428742	10
52	359339286	20
53	366249988	21
54	373159838	11
55	380070169	18
56	386980746	14
57	393891397	11
58	400801625	17
59	407711748	19
60	414622380	13
61	421532875	14
62	428443116	18
63	435353359	15
64	442263953	11
65	449174151	20
66	456084385	21
67	462994668	15
68	469905296	15
69	476815458	17
70	483725970	13
71	490636621	17
72	497547014	14
73	504457067	18
74	511367585	14
75	518277819	12
76	525187951	25
77	532098599	16
78	539009501	16
79	545919398	13
80	552829791	21
81	559740118	11
82	566650428	12
83	573560787	20
84	580471238	21
85	587381929	23
86	594292299	20
87	601202350	10
88	608112807	19
89	615023319	20
90	621933349	20
91	628843496	19
92	635754052	12
93	642664435	16
94	649574963	23
95	656485451	18
96	663395886	19
97	670306187	22
98	677216415	12
99	684127024	11
100	691037248	17
101	697947448	21
102	704858026	13
103	711768618	20
104	718678943	19
105	725588765	23
106	732499301	19
107	739410090	17
108	746320468	14
109	753230458	17
110	760140780	14
111	767051225	20
112	773961426	18
113	780872019	17
114	787782580	13
115	794693087	18
116	801602686	22
117	808513220	20
118	815424264	16
119	822334391	22
120	829244670	13
121	836155060	21
122	843065581	18
123	849975755	11
124	856885955	19
125	863796754	15
126	870707370	9
127	877617096	21
128	884527682	13
129	891438221	15
130	898348590	19
131	905258685	17
132	912169076	16
133	919079737	14
134	925989647	16
135	932900126	17
136	939810828	18
137	946721053	16
138	953630980	11
139	960541551	25
140	967452192	9
141	974362888	12
142	981272653	16
143	988183404	14
144	995093713	20
145	1002004107	12
146	1008914597	6
147	1015824971	15
148	1022735010	14
149	1029645514	13
150	1036555794	9
151	1043466091	24
152	1050376530	19
153	1057287089	15
154	1064197578	20
155	1071107777	16
156	1078018099	17
157	1084928655	13
158	1091839158	16
159	1098749057	15
160	1105659360	16
161	1112570211	9
162	1119480517	13
163	1126390285	17
164	1133301117	14
165	1140212000	18
166	1147121951	17
167	1154031957	19
168	1160942629	19
169	1167853148	11
170	1174763140	18
171	1181673475	16
172	1188584045	13
173	1195494230	16
174	1202404684	17
175	1209315273	14
176	1216226018	16
177	1223135493	21
178	1230046161	21
179	1236957060	10
180	1243867291	12
181	1250777418	11
182	1257687880	13
183	1264598132	15
184	1271508733	15
185	1278418903	19
186	1285329504	15
187	1292239985	16
188	1299149980	14
189	1306060092	17
190	1312970921	13
191	1319881156	16
192	1326791387	13
193	1333701918	13
194	1340612484	17
195	1347522621	14
196	1354432647	15
197	1361343412	19
198	1368254052	22
199	1375163800	14
200	1382074024	20
201	1388985048	9
202	1395895542	23
203	1402805463	20
204	1409716152	15
205	1416626503	16
206	1423536811	10
207	1430447319	13
208	1437357603	9
209	1444268050	12
210	1451178310	18
211	1458088723	14
212	1464999132	6
213	1471909381	16
214	1478819638	11
215	1485729927	14
216	1492640710	13
217	1499550766	16
218	1506461237	14
219	1513371466	14
220	1520281554	14
221	1527192140	14
222	1534102906	15
223	1541013184	11
224	1547923443	12
225	1554833891	11
226	1561744585	17
227	1568654514	17
228	1575564673	14
229	1582475677	10
230	1589386001	26
231	1596296125	18
232	1603206370	19
233	1610117176	12
234	1617027362	16
235	1623937308	18
236	1630847893	23
237	1637758347	16
238	1644668957	12
239	1651579009	10
240	1658489351	18
241	1665399310	12
242	1672310189	18
243	1679220677	11
244	1686130809	13
245	1693041079	14
246	1699951508	14
247	1706862464	12
248	1713772532	15
249	1720682681	19
250	1727593396	17
251	1734503727	14
252	1741413779	11
253	1748324377	17
254	1755234735	15
255	1762145318	14
256	1769055042	16
257	1775966016	10
258	1782876109	16
259	1789786299	12
260	1796696663	14
261	1803607293	16
262	1810517496	13
263	1817427820	16
264	1824338565	16
265	1831249084	15
266	1838159154	11
267	1845069188	10
268	1851979764	15
269	1858890658	18
270	1865800919	9
271	1872710851	18
272	1879621539	9
273	1886531739	16
274	1893442048	15
275	1900352592	10
276	1907262758	12
277	1914173166	17
278	1921083842	20
279	1927993991	18
280	1934904199	17
281	1941814678	20
282	1948725326	16
283	1955635516	14
284	1962545631	14
285	1969456343	13
286	1976366637	20
287	1983276798	19
288	1990187103	14
289	1997097841	16
290	2004007938	26
291	2010918367	8
292	2017829122	16
293	2024739169	11
294	2031649459	12
295	2038560286	15
296	2045470602	19
297	2052380741	15
298	2059291164	20
299	2066201708	18
300	2073112061	20
301	2080022236	18
302	2086932672	17
303	2093843227	12
304	2100753297	18
305	2107663887	21
306	2114574136	18
307	2121484440	15
308	2128394766	21
309	2135305199	15
310	2142215986	19
311	2149125930	10
312	2156036395	10
313	2162947155	10
314	2169857238	10
315	2176767660	12
316	2183678059	17
317	2190588328	21
318	2197498676	13
319	2204408857	18
320	2211319443	20
321	2218229738	17
322	2225140183	11
323	2232050439	19
324	2238960526	16
325	2245871288	18
326	2252781531	14
327	2259692092	16
328	2266602399	11
329	2273512439	17
330	2280423184	13
331	2287333571	14
332	2294243977	16
333	2301154173	14
334	2308064600	12
335	2314975021	15
336	2321885296	18
337	2328795873	12
338	2335706208	14
339	2342616499	13
340	2349526872	15
341	2356437117	16
342	2363347581	13
343	2370257982	21
344	2377168360	13
345	2384078624	15
346	2390989114	14
347	2397899266	15
348	2404809804	22
349	2411720064	14
350	2418630594	14
351	2425540844	12
352	2432451366	21
353	2439361858	13
354	2446272037	16
355	2453182435	16
356	2460092925	13
357	2467003386	17
358	2473913752	23
359	2480824168	13
360	2487734276	18
361	2494644701	12
362	2501555092	9
363	2508465424	16
364	2515375723	14
365	2522286283	20
366	2529196598	14
367	2536106915	17
368	2543017267	14
369	2549927919	12
370	2556837980	14
371	2563748283	15
372	2570658756	20
373	2577569104	13
374	2584479412	15
375	2591389714	17
376	2598300188	16
377	2605210537	13
378	2612121327	11
379	2619031564	12
380	2625942079	18
381	2632851952	21
382	2639762580	17
383	2646672586	15
384	2653583100	17
385	2660493575	17
386	2667404190	14
387	2674314309	17
388	2681224721	18
389	2688135069	16
390	2695045510	13
391	2701956067	16
392	2708866265	15
393	2715776524	18
394	2722686844	20
395	2729597445	23
396	2736507776	15
397	2743418206	14
398	2750328398	18
399	2757238942	14
400	2764149310	12
401	2771059588	14
402	2777970119	18
403	2784880298	13
404	2791790624	14
405	2798701089	25
406	2805611529	14
407	2812521916	20
408	2819432167	14
409	2826342328	16
410	2833252715	16
411	2840163165	16
412	2847073572	17
413	2853984271	10
414	2860894889	12
415	2867804893	17
416	2874715229	13
417	2881625692	22
418	2888535852	17
419	2895446466	16
420	2902356825	13
421	2909267129	19
422	2916177387	14
423	2923087753	13
424	2929998021	18
425	2936908336	13
426	2943818978	15
427	2950729458	18
