bins	start time(ps)	counts
0	0	17
1	7060605	25
2	14121198	19
3	21181584	17
4	28242060	20
5	35302360	20
6	42362274	13
7	49422770	26
8	56483348	16
9	63543592	15
10	70603667	16
11	77664442	25
12	84724983	23
13	91785208	14
14	98845413	23
15	105906051	20
16	112966439	21
17	120026676	18
18	127087190	25
19	134147636	17
20	141207794	20
21	148268106	28
22	155328784	17
23	162389323	17
24	169449469	21
25	176509556	11
26	183570023	21
27	190630279	17
28	197690697	22
29	204751166	15
30	211811798	15
31	218871831	19
32	225932292	17
33	232992869	22
34	240053403	23
35	247113569	19
36	254174022	14
37	261234371	22
38	268294574	20
39	275354899	22
40	282415316	18
41	289476100	19
42	296536174	20
43	303596378	14
44	310657128	22
45	317717215	19
46	324777471	13
47	331838240	23
48	338898811	24
49	345958875	24
50	353019181	17
51	360080044	19
52	367139968	19
53	374200030	12
54	381260898	16
55	388321168	23
56	395381585	25
57	402441957	17
58	409502362	16
59	416562359	17
60	423622957	17
61	430683862	15
62	437743906	22
63	444804097	20
64	451864741	26
65	458925281	19
66	465985164	25
67	473045912	11
68	480106204	14
69	487166336	19
70	494226500	16
71	501287536	16
72	508347866	13
73	515407824	24
74	522468280	11
75	529528996	16
76	536589322	14
77	543649267	17
78	550709919	15
79	557770654	19
80	564830483	19
81	571891101	27
82	578951680	17
83	586011981	14
84	593071922	15
85	600132542	18
86	607193291	19
87	614253261	14
88	621313632	20
89	628374352	20
90	635434835	13
91	642494738	12
92	649555267	19
93	656616018	18
94	663676401	17
95	670736439	16
96	677796722	14
97	684857101	20
98	691917244	12
99	698977856	14
100	706038624	19
101	713098996	14
102	720158814	18
103	727219388	22
104	734280151	16
105	741340335	17
106	748400400	24
107	755461347	12
108	762521625	25
109	769581520	14
110	776642113	14
111	783702520	15
112	790763012	15
113	797822859	19
114	804883753	17
115	811944344	15
116	819004364	20
117	826064611	15
118	833125140	17
119	840185796	21
120	847245913	19
121	854306424	19
122	861367182	15
123	868427061	16
124	875487469	19
125	882548135	25
126	889608304	22
127	896668305	22
128	903729068	19
129	910789628	19
130	917849961	16
131	924910053	18
132	931970406	23
133	939030896	22
134	946091378	21
135	953151934	23
136	960212075	17
137	967272329	17
138	974333207	18
139	981393085	19
140	988453551	17
141	995513620	15
142	1002574329	16
143	1009634637	14
144	1016694829	14
145	1023755668	15
146	1030816225	15
147	1037876229	17
148	1044936413	14
149	1051997248	13
150	1059057649	25
151	1066117835	16
152	1073178204	17
153	1080238569	14
154	1087298853	20
155	1094359447	18
156	1101419534	13
157	1108479574	17
158	1115540439	17
159	1122601173	16
160	1129661158	19
161	1136721291	17
162	1143782310	24
163	1150842965	9
164	1157902797	16
165	1164963202	13
166	1172023534	21
167	1179083909	26
