bins	start time(ps)	counts
370	2593839955	23
371	2600850416	19
372	2607860631	18
373	2614871189	21
374	2621881785	19
375	2628891884	16
376	2635901885	16
377	2642912752	19
378	2649923309	17
379	2656933574	17
380	2663943573	18
381	2670953948	19
382	2677964541	15
383	2684974550	13
384	2691984853	18
385	2698995593	20
386	2706005923	23
387	2713016160	14
388	2720027057	17
389	2727037259	21
390	2734047333	17
391	2741057621	19
392	2748068247	19
393	2755079035	19
394	2762088919	12
395	2769099358	18
396	2776109774	19
397	2783119788	18
398	2790130160	14
399	2797141011	17
400	2804151406	19
401	2811161869	17
402	2818172051	19
403	2825182200	12
404	2832192887	23
405	2839203307	24
406	2846213727	21
407	2853224080	13
408	2860234354	16
409	2867244464	21
410	2874255086	19
411	2881265638	16
412	2888275851	20
413	2895286283	17
414	2902296829	18
415	2909306774	21
416	2916316921	24
417	2923327760	15
418	2930338241	16
419	2937348407	20
420	2944358518	20
421	2951369373	26
422	2958379816	19
423	2965390008	11
424	2972400459	20
425	2979410895	21
426	2986421237	18
427	2993431613	15
428	3000442207	18
429	3007452159	12
430	3014462332	19
431	3021472999	12
432	3028483528	33
433	3035493840	18
434	3042504178	19
435	3049514564	17
436	3056525017	11
437	3063535520	18
438	3070545744	15
439	3077556137	21
440	3084566671	21
441	3091576972	21
442	3098587325	21
443	3105597675	22
444	3112608090	16
445	3119618647	10
446	3126628969	19
447	3133639145	17
448	3140649488	14
449	3147659889	18
450	3154670269	28
451	3161680528	14
452	3168691133	17
453	3175701386	19
454	3182711755	16
455	3189722310	14
456	3196732702	16
457	3203742992	19
458	3210753375	9
459	3217763832	16
460	3224773953	14
461	3231784381	18
462	3238795019	14
463	3245805312	14
464	3252815672	19
465	3259825936	14
466	3266836634	21
467	3273846714	18
468	3280856987	17
469	3287867433	20
470	3294877866	20
471	3301888340	18
472	3308898705	21
473	3315908809	12
474	3322919327	18
475	3329929716	22
476	3336940150	16
477	3343950504	22
478	3350960673	18
479	3357971244	19
480	3364981681	15
481	3371992058	21
482	3379002552	20
483	3386012896	13
484	3393023284	23
485	3400033664	24
486	3407043994	12
487	3414054264	20
488	3421064533	20
489	3428075027	15
490	3435085737	23
491	3442096143	19
492	3449106287	17
493	3456116582	16
494	3463127024	25
495	3470137513	20
496	3477147640	18
497	3484157960	13
498	3491168170	18
499	3498178911	14
500	3505189386	14
501	3512199721	14
502	3519209859	22
503	3526220057	15
504	3533230716	16
505	3540241155	18
506	3547251627	12
507	3554262117	18
508	3561272282	11
509	3568282453	16
510	3575292721	21
511	3582303173	16
512	3589313731	13
513	3596324074	23
514	3603334516	15
515	3610344887	19
516	3617355511	20
517	3624365658	18
518	3631376148	17
519	3638386649	16
520	3645396877	17
521	3652407607	22
522	3659417505	15
523	3666427883	18
524	3673438094	22
525	3680448521	17
526	3687459001	18
527	3694469443	12
528	3701479824	17
529	3708490149	21
530	3715500282	19
531	3722510958	20
532	3729521544	19
533	3736531891	18
534	3743542202	18
535	3750552214	24
536	3757562886	24
537	3764573204	20
538	3771583690	18
539	3778594119	16
540	3785604498	20
541	3792614838	14
542	3799624988	18
543	3806635331	17
544	3813645788	21
545	3820656354	15
546	3827666946	15
547	3834676992	10
548	3841687395	20
549	3848697788	25
550	3855708343	18
551	3862718645	24
552	3869728853	23
553	3876739320	22
554	3883749928	18
555	3890760313	15
556	3897770285	20
557	3904780617	28
558	3911791285	16
