bins	start time(ps)	counts
0	0	20
1	6910145	17
2	13820551	14
3	20731407	15
4	27641790	18
5	34551579	26
6	41462225	18
7	48372675	23
8	55282815	18
9	62193060	17
10	69104003	10
11	76014287	23
12	82924438	20
13	89834744	20
14	96744800	16
15	103655014	17
16	110566061	23
17	117476718	20
18	124386262	21
19	131296736	18
20	138207801	16
21	145118099	15
22	152028015	15
23	158938430	19
24	165849061	23
25	172759144	17
26	179669589	21
27	186580289	16
28	193490661	15
29	200400633	21
30	207310817	21
31	214221381	21
32	221132006	22
33	228042194	13
34	234952741	19
35	241863197	19
36	248773301	21
37	255683410	21
38	262594171	23
39	269504668	23
40	276414592	12
41	283325316	16
42	290235976	18
43	297145986	16
44	304055946	22
45	310966841	15
46	317877386	13
47	324787483	26
48	331697664	18
49	338608017	17
50	345518516	11
51	352428895	11
52	359339273	16
53	366249950	17
54	373160248	22
55	380070471	15
56	386981152	23
57	393891618	19
58	400801978	20
59	407711822	17
60	414622414	16
61	421532765	11
62	428443008	20
63	435353371	14
64	442264195	14
65	449174492	11
66	456084204	14
67	462994881	13
68	469905343	22
69	476815684	14
70	483725735	11
71	490636374	17
72	497546917	13
73	504456961	9
74	511367529	19
75	518278202	21
76	525188555	11
77	532098522	19
78	539008990	20
79	545919595	17
80	552829820	22
81	559740051	13
82	566650710	9
83	573560976	15
84	580471442	19
85	587382005	19
86	594291930	11
87	601202336	13
88	608112685	10
89	615023383	10
90	621933460	12
91	628843768	16
92	635754325	17
93	642664620	17
94	649574838	16
95	656485416	17
96	663395905	18
97	670306272	24
98	677216380	11
99	684126977	19
100	691037419	18
101	697947659	19
102	704857827	15
103	711768479	19
104	718679017	19
105	725589358	18
106	732499565	22
107	739409559	20
108	746319909	16
109	753230826	19
110	760141304	18
111	767051370	24
112	773961590	16
113	780871961	15
114	787782645	18
115	794692529	17
116	801603365	14
117	808513662	18
118	815423910	14
119	822334042	20
120	829244675	17
121	836155178	21
122	843065339	15
123	849975892	16
124	856886705	26
125	863796788	17
126	870706761	17
127	877617360	17
128	884527824	23
129	891438088	20
130	898348213	18
131	905258934	12
132	912169333	17
133	919078994	19
134	925989662	23
135	932900247	13
136	939810851	19
137	946720924	18
138	953631281	21
139	960541874	16
140	967452585	18
141	974363030	16
142	981272857	18
143	988183329	20
