bins	start time(ps)	counts
0	0	13
1	6809896	14
2	13620129	11
3	20430686	22
4	27241012	13
5	34051429	19
6	40862057	22
7	47672509	9
8	54482488	17
9	61292778	17
10	68103843	17
11	74914005	18
12	81723748	15
13	88534643	20
14	95344894	17
15	102155335	20
16	108965441	13
17	115776063	16
18	122586623	18
19	129396634	23
20	136206789	17
21	143017533	18
22	149827806	23
23	156638093	17
24	163448722	12
25	170259459	15
26	177069466	15
27	183879479	15
28	190690176	16
29	197500586	16
30	204310829	16
31	211120999	18
32	217931454	17
33	224741813	19
34	231551804	18
35	238362453	25
36	245173053	14
37	251983568	14
38	258793764	20
39	265603859	17
40	272414470	15
41	279225120	17
42	286035215	22
43	292845583	16
44	299655617	12
45	306466369	17
46	313276961	14
47	320087025	16
48	326897167	15
49	333707786	11
50	340518272	9
51	347328546	17
52	354138824	15
53	360949311	14
54	367759923	12
55	374570073	14
56	381380343	16
57	388191011	11
58	395001143	21
59	401811261	13
60	408621928	18
61	415432010	15
62	422242563	10
63	429053285	17
64	435863347	17
65	442673089	23
66	449484044	13
67	456294316	15
68	463104568	18
69	469914965	20
70	476725408	16
71	483536032	15
72	490346491	23
73	497156600	22
74	503967363	19
75	510777468	13
76	517587471	20
77	524397490	16
78	531208479	19
79	538018863	14
80	544829082	13
81	551639689	14
82	558449909	21
83	565260217	16
84	572070508	20
85	578881251	10
86	585691690	12
87	592502036	24
88	599312030	14
89	606122852	16
90	612933201	18
91	619742937	13
92	626553583	19
93	633363995	11
94	640174551	12
95	646984607	13
96	653795048	13
97	660605098	15
98	667415778	15
99	674226192	19
100	681036550	16
101	687846828	18
102	694657528	17
103	701467858	19
104	708277961	24
105	715088007	19
106	721898778	19
107	728709184	16
108	735519374	19
109	742329604	15
110	749140645	16
111	755950960	16
112	762760665	20
113	769571289	13
114	776381770	10
115	783192084	16
116	790002209	15
117	796812701	16
118	803623457	18
119	810433616	14
120	817243757	11
121	824054131	18
122	830864996	15
123	837674969	18
124	844485162	21
125	851295899	15
126	858106402	18
127	864916011	18
128	871726672	19
129	878537419	14
130	885347567	12
131	892157733	22
132	898968183	16
133	905778412	22
134	912588858	14
135	919399380	12
136	926210292	20
137	933020358	8
138	939830238	16
139	946640649	19
140	953451414	16
141	960261985	11
142	967071839	13
143	973882312	26
144	980693069	16
145	987503307	19
146	994313473	18
147	1001124083	11
148	1007934511	11
149	1014744434	18
150	1021554871	16
151	1028365478	14
152	1035175796	14
153	1041986010	11
154	1048796139	17
155	1055606991	19
156	1062417197	21
157	1069227303	13
158	1076038019	17
159	1082848367	19
160	1089658512	17
161	1096468610	15
162	1103279310	15
163	1110089575	17
164	1116899974	18
165	1123710235	16
166	1130520779	23
167	1137331308	18
168	1144141554	22
169	1150951933	12
170	1157762279	13
171	1164572710	20
172	1171383523	19
173	1178193723	18
174	1185003714	13
175	1191814282	20
176	1198624556	24
177	1205435003	16
178	1212244982	12
179	1219055519	18
180	1225866069	12
181	1232676379	17
182	1239486320	15
183	1246297181	13
184	1253107433	15
185	1259917696	18
186	1266727821	7
187	1273538432	18
188	1280348929	10
189	1287159328	12
190	1293969870	18
191	1300779844	16
192	1307590314	14
193	1314400974	17
194	1321211138	17
195	1328021525	17
196	1334831531	22
197	1341642282	15
198	1348452797	16
199	1355262769	18
200	1362073214	18
201	1368883851	18
202	1375694271	12
203	1382504435	22
204	1389314977	18
205	1396125343	13
206	1402935710	20
207	1409745756	18
208	1416556359	13
209	1423366805	14
210	1430176976	8
211	1436987136	15
212	1443797617	15
213	1450607996	18
214	1457418415	17
215	1464228962	10
216	1471039303	16
217	1477849516	14
218	1484659648	15
219	1491470308	24
220	1498280823	13
221	1505090894	16
222	1511901303	15
223	1518711732	11
224	1525522284	20
225	1532332616	21
226	1539142887	23
227	1545953304	18
228	1552763545	13
229	1559574101	13
230	1566384494	17
231	1573195029	17
232	1580005065	18
233	1586815596	13
234	1593626151	21
235	1600436035	21
236	1607246413	16
237	1614057094	13
238	1620867535	14
239	1627677532	19
240	1634488092	12
241	1641298320	21
242	1648108575	11
243	1654919087	11
244	1661729598	21
245	1668539893	12
246	1675350452	22
247	1682160990	19
248	1688970841	16
249	1695781238	19
250	1702591875	11
251	1709402100	16
252	1716212402	12
253	1723022716	13
254	1729833289	17
255	1736643784	14
256	1743453778	20
257	1750264355	21
258	1757075082	19
259	1763884811	13
260	1770695427	13
261	1777505954	21
262	1784316328	17
263	1791126495	17
264	1797936919	15
265	1804747153	25
266	1811557884	14
267	1818368003	13
268	1825178549	14
269	1831988977	15
270	1838799092	17
271	1845609000	18
272	1852419412	19
273	1859230146	8
274	1866040561	14
275	1872850543	18
276	1879661337	20
277	1886471785	27
278	1893282149	17
279	1900092233	17
280	1906902860	18
281	1913712853	27
282	1920523781	9
283	1927334278	16
284	1934144565	14
285	1940954409	19
286	1947765147	16
287	1954575546	17
288	1961385414	16
289	1968195760	16
290	1975006690	17
291	1981817051	19
292	1988627035	15
293	1995437348	9
294	2002248249	12
295	2009058398	21
296	2015868157	19
297	2022679131	15
298	2029489587	16
299	2036299646	16
300	2043110000	14
301	2049920430	18
302	2056730873	17
303	2063540951	12
304	2070351345	20
305	2077161963	11
306	2083972574	18
307	2090782521	20
308	2097593073	15
309	2104403615	16
310	2111213770	22
311	2118023713	11
312	2124834706	12
313	2131645340	20
314	2138455174	23
315	2145265738	17
316	2152075939	19
317	2158886295	17
318	2165696667	12
319	2172507203	16
320	2179317859	10
321	2186127879	21
322	2192938046	16
323	2199748210	19
324	2206559263	14
325	2213369323	22
326	2220179513	15
327	2226990156	13
328	2233800750	17
329	2240610392	19
330	2247420944	12
331	2254231626	15
332	2261041911	12
333	2267852067	17
334	2274662442	20
335	2281473101	17
336	2288283444	16
337	2295093445	11
338	2301904137	24
339	2308714599	17
340	2315524502	15
341	2322335177	15
342	2329145816	12
343	2335955939	19
344	2342766141	17
345	2349576200	15
346	2356387186	17
347	2363197709	17
348	2370008147	11
349	2376818129	15
350	2383628718	18
351	2390439020	14
352	2397249359	18
353	2404059865	17
354	2410870067	15
355	2417680661	17
356	2424490972	8
357	2431301399	21
358	2438111610	22
359	2444921719	14
360	2451732157	17
361	2458542468	16
362	2465353039	13
363	2472163352	21
364	2478973843	17
365	2485783934	15
366	2492594261	22
367	2499404685	18
368	2506215177	17
369	2513025562	17
370	2519835953	14
371	2526646485	20
372	2533456469	19
373	2540267046	17
374	2547077415	13
375	2553887756	15
376	2560698277	19
