bins	start time(ps)	counts
0	0	17
1	6860131	22
2	13720586	19
3	20581428	15
4	27441588	21
5	34301570	11
6	41162122	11
7	48022223	13
8	54882671	13
9	61743536	21
10	68603706	15
11	75463926	21
12	82324392	26
13	89185243	11
14	96044996	16
15	102905031	14
16	109766047	14
17	116626281	9
18	123486478	11
19	130346680	13
20	137207491	13
21	144067887	19
22	150927716	13
23	157788407	15
24	164649088	20
25	171509440	19
26	178369646	17
27	185230138	23
28	192090159	27
29	198950905	15
30	205811475	18
31	212671683	17
32	219531673	13
33	226391962	17
34	233252649	22
35	240112748	16
36	246973099	15
37	253833812	19
38	260694276	19
39	267554286	18
40	274414556	21
41	281275245	16
42	288135515	14
43	294995698	18
44	301856388	20
45	308716910	14
46	315577134	25
47	322437335	18
48	329297934	23
49	336158160	12
50	343018503	24
51	349878699	13
52	356739304	16
53	363599746	15
54	370459524	25
55	377320120	24
56	384180713	16
57	391041094	8
58	397901043	15
59	404761765	14
60	411622229	15
61	418482701	17
62	425343098	20
63	432203012	16
64	439063529	16
65	445923855	11
66	452784461	14
67	459644838	19
68	466504730	16
69	473365535	19
70	480225966	19
71	487086287	19
72	493946352	18
73	500807241	12
74	507667752	22
75	514527606	10
76	521388270	13
77	528248672	14
78	535109103	17
79	541969266	23
80	548829754	23
81	555689911	18
82	562550178	23
83	569410881	25
84	576271128	26
85	583131278	21
86	589991720	16
87	596852506	15
88	603712356	23
89	610572657	11
90	617433466	11
91	624293712	18
92	631154215	18
93	638014269	21
94	644874876	17
95	651735383	12
96	658595356	14
97	665455739	21
98	672316303	15
99	679176637	19
100	686036937	14
101	692897406	22
102	699758059	17
103	706618126	17
104	713478393	15
105	720338793	16
106	727199308	16
107	734059278	20
108	740919860	20
109	747780395	18
110	754640775	14
111	761500612	13
112	768361272	18
113	775221744	18
114	782082211	14
115	788942822	15
116	795803097	16
117	802663155	17
118	809523636	18
119	816384496	13
120	823244521	15
121	830104901	16
122	836965428	23
123	843825929	12
124	850685724	15
125	857545969	11
126	864406932	22
127	871267099	13
128	878127066	16
129	884987562	19
130	891848110	20
131	898708519	23
132	905568543	13
133	912429171	14
134	919289696	21
135	926149974	18
136	933010203	17
137	939870778	8
138	946731378	13
139	953591294	19
140	960451593	24
141	967312290	17
142	974172375	13
143	981032930	13
144	987893546	12
145	994753837	17
146	1001613832	15
147	1008474341	23
148	1015334790	19
149	1022195492	17
150	1029055703	21
151	1035915848	23
152	1042776512	17
153	1049636591	12
154	1056496836	19
155	1063357618	12
156	1070217918	16
157	1077077740	23
158	1083938018	16
159	1090798929	15
160	1097659330	16
161	1104519313	20
162	1111379825	22
163	1118240413	7
164	1125100855	18
165	1131960861	20
166	1138821637	20
167	1145682075	20
168	1152542302	10
169	1159402409	20
170	1166263098	21
171	1173123504	17
172	1179983532	18
173	1186843854	14
174	1193704599	17
175	1200564954	14
176	1207424862	16
177	1214285472	21
178	1221145999	12
179	1228006523	24
180	1234866572	17
181	1241727095	19
182	1248587393	21
183	1255447526	15
184	1262307780	20
185	1269168782	16
186	1276028997	13
187	1282889280	13
188	1289749562	18
189	1296609767	17
190	1303470255	8
191	1310330878	20
192	1317191455	14
193	1324051371	16
194	1330911532	15
195	1337772432	13
196	1344632811	17
197	1351492795	21
198	1358353457	14
199	1365213943	18
200	1372074020	14
201	1378934405	18
202	1385795024	15
203	1392655444	21
204	1399515667	11
205	1406375604	15
206	1413236186	13
207	1420096555	22
208	1426956829	15
209	1433817332	10
210	1440677710	17
211	1447538338	10
212	1454398114	18
213	1461258970	21
214	1468119585	20
215	1474979380	26
216	1481840010	20
217	1488700578	13
218	1495561061	18
219	1502421010	13
220	1509280937	16
221	1516141925	20
222	1523002331	14
223	1529862833	22
224	1536723088	12
225	1543583468	16
226	1550443747	17
227	1557304124	25
228	1564164551	16
229	1571024928	17
230	1577884832	14
231	1584745324	16
232	1591605444	19
233	1598466237	18
234	1605326660	15
235	1612186948	23
236	1619047564	15
237	1625907686	17
238	1632767849	25
239	1639628661	23
240	1646489327	20
241	1653349342	26
242	1660209795	16
243	1667070391	17
244	1673930579	15
245	1680790935	17
246	1687651381	15
247	1694511577	15
248	1701371881	19
249	1708232379	17
250	1715092617	20
251	1721952968	21
252	1728813542	10
253	1735673836	20
254	1742533997	15
255	1749394596	22
256	1756255116	18
257	1763115332	20
258	1769975832	16
259	1776835835	20
260	1783696318	12
261	1790556720	22
262	1797416842	14
263	1804277408	11
264	1811137788	24
265	1817998159	22
266	1824858510	18
267	1831719054	21
268	1838579524	17
269	1845439735	15
270	1852300389	19
271	1859160615	13
272	1866020794	23
273	1872881377	16
274	1879741480	15
275	1886601941	21
276	1893462400	15
277	1900322858	12
278	1907183076	8
279	1914043546	23
280	1920903830	19
281	1927764162	25
282	1934624365	23
283	1941484817	16
284	1948344879	21
285	1955205474	18
286	1962066013	10
287	1968926283	18
288	1975786790	14
289	1982647105	16
290	1989507712	10
291	1996367915	15
292	2003228344	15
293	2010088695	17
294	2016948967	18
295	2023809493	23
296	2030670011	16
297	2037530105	8
298	2044390525	14
299	2051251048	14
300	2058111059	17
301	2064971610	18
302	2071831722	16
303	2078692424	19
304	2085552825	10
305	2092413091	19
306	2099273306	16
307	2106133568	17
308	2112994062	20
309	2119854450	19
310	2126714637	16
311	2133575365	18
312	2140435643	21
313	2147296150	18
314	2154156542	25
315	2161016697	18
316	2167877110	22
317	2174737553	18
318	2181598029	19
319	2188458542	23
320	2195318738	12
321	2202178857	15
322	2209039474	12
323	2215899520	15
324	2222760318	18
325	2229620533	12
326	2236480950	15
327	2243341376	20
328	2250201473	14
329	2257061623	15
330	2263922057	18
331	2270782574	21
332	2277643091	14
333	2284503176	19
334	2291363774	22
335	2298224338	15
336	2305084626	20
337	2311944803	18
338	2318805152	17
339	2325665558	15
340	2332525948	18
341	2339386551	21
342	2346246958	19
343	2353107001	15
344	2359967528	17
345	2366827824	15
346	2373688246	22
347	2380548867	9
348	2387408956	15
349	2394269385	19
350	2401129700	20
351	2407989959	14
352	2414850362	17
353	2421710675	20
354	2428571292	14
355	2435431404	13
356	2442292078	14
357	2449152248	15
358	2456012594	18
359	2462872845	17
360	2469733436	17
361	2476593863	18
362	2483454166	15
363	2490314454	16
364	2497174825	11
365	2504035473	18
366	2510895683	16
367	2517756013	17
368	2524616455	17
369	2531476899	21
370	2538337343	12
371	2545197740	15
372	2552057997	18
373	2558918017	20
374	2565778294	16
375	2572638981	14
376	2579499688	16
377	2586359588	17
378	2593219780	22
379	2600080583	26
380	2606940889	17
381	2613801280	21
382	2620661559	17
383	2627522038	14
384	2634382112	16
385	2641242709	18
386	2648103047	12
387	2654963272	26
388	2661823744	18
389	2668684377	10
390	2675544520	17
391	2682404664	24
392	2689265083	20
393	2696125715	22
394	2702986249	17
395	2709846251	16
396	2716706565	14
397	2723567244	15
398	2730427652	17
399	2737287723	20
400	2744148171	13
401	2751008617	20
402	2757868645	9
403	2764729119	21
404	2771589720	13
405	2778449890	18
406	2785310458	19
407	2792170672	15
408	2799030948	12
409	2805891471	23
410	2812752033	21
411	2819612316	19
412	2826472546	16
413	2833333162	16
414	2840193579	21
415	2847054061	18
416	2853913855	17
417	2860774241	14
418	2867635112	13
419	2874495415	9
420	2881355460	12
421	2888215842	17
422	2895076570	14
423	2901936532	11
424	2908796662	21
425	2915657478	23
426	2922517745	26
427	2929377970	21
428	2936238580	13
429	2943098948	19
430	2949959388	15
431	2956819339	24
432	2963679876	20
433	2970540457	17
434	2977401017	19
435	2984260949	20
436	2991121756	14
437	2997982132	16
438	3004841907	16
439	3011702290	17
440	3018563294	15
441	3025423510	15
442	3032283876	19
443	3039144244	29
444	3046004287	13
445	3052864792	13
446	3059725521	20
447	3066585714	18
448	3073445620	16
449	3080306157	15
450	3087166842	16
451	3094027043	15
452	3100887234	24
453	3107747821	12
454	3114608152	16
455	3121468471	16
456	3128328699	27
457	3135189166	19
458	3142049863	20
459	3148909947	24
460	3155770175	21
461	3162630756	12
462	3169491336	20
463	3176351533	18
464	3183211701	13
465	3190072008	8
466	3196932536	25
467	3203792985	17
468	3210653564	19
469	3217513516	16
470	3224374284	17
471	3231234731	20
472	3238094991	19
473	3244955125	16
474	3251815654	18
475	3258676138	13
476	3265536316	21
477	3272396409	18
478	3279257040	14
479	3286117560	18
480	3292977741	15
481	3299838121	17
482	3306698817	14
483	3313558880	20
484	3320419054	22
485	3327279608	21
486	3334140122	15
487	3341000484	21
488	3347860713	19
489	3354721373	15
490	3361581671	15
491	3368441620	20
492	3375302397	18
493	3382162780	20
494	3389023203	14
495	3395883124	24
496	3402743665	18
497	3409604289	16
498	3416464621	15
499	3423325037	14
500	3430185214	14
501	3437045223	16
502	3443906085	14
503	3450766360	18
504	3457626806	17
505	3464486570	18
506	3471347303	18
507	3478208060	19
508	3485067942	17
509	3491928271	17
510	3498788811	17
511	3505649142	16
512	3512509831	25
513	3519370198	18
514	3526230521	21
515	3533090950	18
516	3539950956	14
517	3546811460	21
518	3553671877	19
519	3560532438	16
520	3567392968	15
521	3574253271	23
522	3581113120	18
523	3587973911	25
524	3594834261	22
525	3601694603	18
526	3608554500	16
527	3615414788	19
528	3622275277	15
529	3629136038	25
530	3635996490	15
531	3642856739	13
532	3649717029	20
533	3656577812	14
534	3663437931	26
535	3670298488	15
536	3677159006	18
