bins	start time(ps)	counts
0	0	17
1	6960768	21
2	13920904	22
3	20881282	20
4	27841699	6
5	34801931	21
6	41762214	22
7	48722711	16
8	55683367	17
9	62643679	19
10	69603845	14
11	76564441	14
12	83524934	18
13	90484957	10
14	97445413	20
15	104405991	25
16	111366398	21
17	118326742	17
18	125286909	21
19	132247476	19
20	139207493	20
21	146167841	21
22	153128244	20
23	160088856	12
24	167049038	15
25	174009540	19
26	180970331	15
27	187930410	17
28	194890361	12
29	201850833	19
30	208811667	13
31	215772101	18
32	222732135	16
33	229692652	19
34	236652974	23
35	243613122	11
36	250573689	14
37	257534249	20
38	264494345	28
39	271454806	15
40	278415414	25
41	285375501	23
42	292335669	16
43	299296263	15
44	306256887	13
45	313216977	22
46	320177514	22
47	327137668	22
48	334098174	23
49	341058478	12
50	348019183	21
51	354979782	27
52	361939641	13
53	368899904	19
54	375860565	21
55	382821056	20
56	389781405	18
57	396741621	21
58	403701810	14
59	410662140	12
60	417622974	15
61	424583139	19
62	431543279	22
63	438503483	16
64	445464263	16
65	452424782	22
66	459384831	20
67	466345407	20
68	473305946	19
69	480266141	16
70	487226284	21
71	494187040	19
72	501147439	14
73	508107515	18
74	515068011	19
75	522028392	27
76	528988613	16
77	535948805	14
78	542909685	12
79	549869944	19
80	556830221	20
81	563790533	17
82	570751119	20
83	577711630	21
84	584671379	22
85	591632013	24
86	598592585	24
87	605552728	22
88	612513013	19
89	619473561	17
90	626434197	18
91	633394279	23
92	640354932	18
93	647315103	12
94	654275414	20
95	661236374	14
96	668196712	16
97	675156304	15
98	682116785	22
99	689077311	23
100	696037831	21
101	702998122	22
102	709958527	12
103	716918589	17
104	723879194	16
105	730840034	18
106	737800131	17
107	744760049	16
108	751720767	20
109	758681275	14
110	765641565	20
111	772601851	21
112	779562555	22
113	786522854	19
114	793482883	15
115	800443202	18
116	807403976	15
117	814364207	18
118	821324441	16
119	828285053	23
120	835245425	18
121	842205498	22
122	849166086	19
123	856126480	13
